distance_m,soil_moisture_content_pct
158.06,3.624406849
158.19,3.035333052
158.33,3.806259255
158.47,3.167185458
158.61,3.668111661
158.75,4.549037865
158.89,5.139964068
159.03,4.810890271
159.17,4.721816474
159.31,3.142742677
159.44,2.56366888
159.58,3.844595083
159.72,3.465521286
159.86,4.326447489
160.00,5.307373692
160.14,4.268299895
160.28,3.059226098
160.42,3.160152301
160.56,2.361078504
160.69,2.522004707
160.83,4.27293091
160.97,2.523857113
161.11,4.014783316
161.25,3.495709519
161.39,3.226635722
161.53,2.497561925
161.67,3.188488128
161.81,3.379414331
161.94,3.220340534
162.08,3.061266738
162.22,2.742192941
162.36,2.503119144
162.50,3.734045347
162.64,3.88497155
162.78,3.385897753
162.92,5.276823956
163.06,4.337750159
163.19,4.268676362
163.33,3.339602565
163.47,3.950528768
163.61,3.441454971
163.75,3.632381174
163.89,7.573307377
164.03,5.89423358
164.17,4.325159783
